,Unnamed: 0,name,naverURL,contains_review
264,264,그림속풍경 펜션,"https://map.naver.com/p/search/%EA%B7%B8%EB%A6%BC%EC%86%8D%ED%92%8D%EA%B2%BD%20%ED%8E%9C%EC%85%98/place/12968413?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
268,268,글렌즈 게스트하우스(글렌즈게스트하우스),"https://map.naver.com/p/search/%EA%B8%80%EB%A0%8C%EC%A6%88%20%EA%B2%8C%EC%8A%A4%ED%8A%B8%ED%95%98%EC%9A%B0%EC%8A%A4%28%EA%B8%80%EB%A0%8C%EC%A6%88%EA%B2%8C%EC%8A%A4%ED%8A%B8%ED%95%98%EC%9A%B0%EC%8A%A4%29/place/37196576?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
273,273,금강평 민박,"https://map.naver.com/p/search/%EA%B8%88%EA%B0%95%ED%8F%89%20%EB%AF%BC%EB%B0%95/place/15783802?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
274,274,금농헌,"https://map.naver.com/p/search/%EA%B8%88%EB%86%8D%ED%97%8C/place/320466649?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
276,276,금마관,"https://map.naver.com/p/search/%EA%B8%88%EB%A7%88%EA%B4%80/place/1887335777?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
278,278,금수장관광호텔,"https://map.naver.com/p/search/%EA%B8%88%EC%88%98%EC%9E%A5%EA%B4%80%EA%B4%91%ED%98%B8%ED%85%94/place/11540319?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
280,280,금주산방 까사펜션,"https://map.naver.com/p/search/%EA%B8%88%EC%A3%BC%EC%82%B0%EB%B0%A9%20%EA%B9%8C%EC%82%AC%ED%8E%9C%EC%85%98/place/11609636?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
282,282,기쁨이 가득한 곳,"https://map.naver.com/p/search/%EA%B8%B0%EC%81%A8%EC%9D%B4%20%EA%B0%80%EB%93%9D%ED%95%9C%20%EA%B3%B3/place/13476263?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
284,284,기와집농박,"https://map.naver.com/p/search/%EA%B8%B0%EC%99%80%EC%A7%91%EB%86%8D%EB%B0%95/place/15784161?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
286,286,기헌고택,"https://map.naver.com/p/search/%EA%B8%B0%ED%97%8C%EA%B3%A0%ED%83%9D/place/15924172?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
